query,true_category,source,similarity_to_gt,is_wrong_hit,ground_truth,cached_response
What is the greenhouse effect?,Static,REDIS_HIT,0.7041,False,"Greenhouse gases trap infrared radiation in the atmosphere, warming the Earth. Essential naturally but intensified by human activity.","The **greenhouse effect** is a natural process by which the Earth's atmosphere traps some of the Sun's energy, warming the planet and making it habitable for life. Without it, Earth would be too cold "
What is CRISPR gene editing?,Static,CACHE_HIT_FAST,0.8378,False,"CRISPR-Cas9 uses guide RNA to direct Cas9 to cut specific DNA sequences, enabling precise genetic modification with broad biomedical applications.",CRISPR-Cas9 is a revolutionary gene-editing technology that has transformed the field of genetics by providing scientists with a powerful and precise tool to modify DNA. Here's a breakdown of what it 
What does conservation of energy mean?,Static,CACHE_HIT_FAST,0.6572,True,Energy cannot be created or destroyed — only converted between forms. The total energy in an isolated system is constant.,The **law of conservation of energy** is a fundamental principle of physics stating that energy cannot be created or destroyed; it can only be transformed from one form to another or transferred betwe
What is osmosis in biology?,Static,CACHE_HIT_FAST,0.8068,False,"Osmosis is the diffusion of water across a semipermeable membrane from low to high solute concentration, critical for cell function and fluid balance.",Osmosis is the movement of water molecules across a **semipermeable membrane** from a region of **lower solute concentration** to a region of **higher solute concentration**. This process occurs in or
What does GDPR say about how long you can keep personal data?,Slow-Moving,CACHE_HIT_FAST,0.7138,False,"GDPR requires retention only as long as necessary for the stated purpose, with documented schedules and deletion obligations. Fines up to €20M for violations.","The General Data Protection Regulation (GDPR) does not set specific timeframes or durations for data retention. Instead, it establishes principles for how personal data should be managed and stored, l"
Summarize HIPAA privacy requirements,Slow-Moving,CACHE_HIT_FAST,0.7856,False,"HIPAA protects PHI via Privacy and Security Rules requiring access controls, audit logs, breach notifications, and minimum-necessary use principles.","The Health Insurance Portability and Accountability Act (HIPAA) establishes strict requirements for protecting individual Protected Health Information (PHI) to ensure privacy, confidentiality, and sec"
What are the steps to get FDA drug approval?,Slow-Moving,CACHE_HIT_FAST,0.4996,True,Preclinical testing → Phase 1 (safety) → Phase 2 (dosing/efficacy) → Phase 3 (large RCT) → NDA submission → FDA review. Typically 10–15 years.,"As of my last knowledge update in October 2023, the U.S. Food and Drug Administration’s (FDA) drug approval process is a rigorous and detailed process designed to ensure that only safe, effective, and"
What does CCPA give California residents the right to do?,Slow-Moving,CACHE_HIT_FAST,0.6279,True,"Request data disclosure, demand deletion, opt out of data sales, and not be discriminated against for exercising privacy rights.",The California Consumer Privacy Act (CCPA) is a comprehensive privacy law designed to protect the personal information of California residents and grant them greater control over their data. It impose
What are OSHA workplace safety obligations?,Slow-Moving,CACHE_HIT_FAST,0.5421,True,"Employers must maintain hazard-free workplaces, comply with OSHA standards, keep injury records, and provide training. Fines up to $15,625/violation.",OSHA (Occupational Safety and Health Administration) establishes and enforces regulations to ensure safe and healthful working conditions for employees. Employers are required to adhere to these stand
What are current WHO guidelines on antibiotic use?,Slow-Moving,CACHE_HIT_FAST,0.4891,True,"WHO's AWaRe framework classifies antibiotics as Access/Watch/Reserve, advocating narrow-spectrum agents and full course completion to combat antimicrobial resistance.","The World Health Organization (WHO) provides guidelines for the responsible use of antibiotics in order to combat antimicrobial resistance (AMR), a significant global health threat. Below are the key "
What does the CAN-SPAM Act say about commercial email?,Slow-Moving,CACHE_HIT_FAST,0.4547,True,"Requires truthful headers, identification as ad, physical address, opt-out mechanism, and honoring opt-outs within 10 business days. FTC enforces; fines up to $51,744/email.",The **CAN-SPAM Act** (Controlling the Assault of Non-Solicited Pornography and Marketing Act of 2003) is a United States law that establishes rules for commercial email and gives recipients the right 
What does Basel III require from banks?,Slow-Moving,CACHE_HIT_FAST,0.4169,True,"Minimum CET1 ratio of 4.5%, liquidity buffers (LCR, NSFR), and leverage ratio requirements. Final phase (Endgame) being implemented through 2028.",The Basel III framework is a comprehensive set of international banking regulations developed by the Basel Committee on Banking Supervision (BCBS) in response to the global financial crisis of 2007–20
What is WCAG 2.1 AA compliance for websites?,Slow-Moving,CACHE_HIT_FAST,0.545,True,"Requires meeting Perceivable, Operable, Understandable, and Robust criteria including 4.5:1 contrast, keyboard accessibility, and captions for live audio.","To meet **WCAG 2.1 AA** accessibility compliance, websites and applications must conform to a specific set of criteria aimed at improving accessibility for people with disabilities. WCAG (Web Content "
What is the Clean Air Act and what does it mandate?,Slow-Moving,CACHE_HIT_FAST,0.6946,True,"Requires industrial facilities to obtain permits, meet emission standards for criteria pollutants and HAPs, and apply BACT for new sources. EPA sets NAAQS.",The **Clean Air Act (CAA)** is a comprehensive federal law in the United States that regulates air emissions from stationary and mobile sources to protect public health and the environment from harmfu
What does Russia's data localization law require?,Slow-Moving,CACHE_HIT_FAST,0.7498,False,Russian personal data must be stored on servers within Russia. Foreign companies collecting Russian data must comply or risk being blocked by Roskomnadzor.,"Russia's Federal Law No. 242-FZ, enacted on July 21, 2014, introduced data localization requirements that mandate the storage and processing of Russian citizens' personal data within the territory of "
What is the current Eurozone inflation rate?,Volatile,CACHE_HIT_FAST,0.7856,False,"Eurozone inflation was approximately 2.4% in late 2024. As of April 2026, check ECB or Eurostat for the current figure.","As of my last knowledge update in October 2023, the most recent inflation rates in the Eurozone typically come from reports published by Eurostat, the statistical office of the European Union. Inflati"
What are the most recent FDA drug approvals?,Volatile,CACHE_HIT_FAST,0.5196,True,"FDA approvals change frequently. As of 2024–2025, several GLP-1 drugs and cancer therapies were approved. Check FDA's Drugs@FDA database for current approvals.","As of my last knowledge update in October 2023, the U.S. Food and Drug Administration’s (FDA) drug approval process is a rigorous and detailed process designed to ensure that only safe, effective, and"
What is quantum computing?,Static,CACHE_HIT_FAST,0.4788,True,"Quantum computing uses quantum-mechanical phenomena like superposition and entanglement to perform computations. Unlike classical bits (0 or 1), qubits can represent multiple states simultaneously.","Quantum entanglement is a phenomenon in quantum mechanics where two or more particles become interconnected in such a way that the state of one particle directly determines the state of the other, no "
What is the Paris Agreement on climate change?,Slow-Moving,CACHE_HIT_FAST,0.7465,False,The Paris Agreement (2015) commits signatory nations to limit global warming to well below 2°C above pre-industrial levels. Countries submit nationally determined contributions (NDCs) that are updated,"As of my last knowledge update in October 2023, here are the latest updates on the commitments under the Paris Climate Agreement:

1. **Global Stocktake in 2023**: The Paris Agreement established a fi"
When does it expire? (context: discussing GDPR data retention),Slow-Moving,CACHE_HIT_FAST,0.7845,False,"Under GDPR, data retention periods are defined by the purpose of collection. There is no single expiry date — organizations must document and apply purpose-specific schedules.","The General Data Protection Regulation (GDPR) does not set specific timeframes or durations for data retention. Instead, it establishes principles for how personal data should be managed and stored, l"
What's the current rate? (context: discussing the federal funds rate),Volatile,CACHE_HIT_FAST,0.3517,True,The federal funds rate as of April 2026 may have changed from the 5.25–5.50% level of 2024. Check the FOMC's latest statement for the current rate.,"As of my knowledge cutoff date in October 2023, the current federal corporate tax rate in the United States is **21%**. This rate was established by the **Tax Cuts and Jobs Act (TCJA)** of 2017 and ha"
How does it work exactly? (context: discussing TLS 1.3),Slow-Moving,CACHE_HIT_FAST,0.6269,True,"TLS 1.3 establishes encrypted connections using a 1-RTT handshake, negotiates cipher suites, and authenticates the server via certificates. 0-RTT resumption is available for repeat connections.","TLS (Transport Layer Security) 1.3 is the latest version of the TLS protocol, which is designed to provide secure communication over the internet by encrypting the data exchanged between clients (e.g."
What body enforces OSHA regulations?,Slow-Moving,CACHE_HIT_FAST,0.6768,True,"OSHA (the Occupational Safety and Health Administration), a division of the US Department of Labor, enforces workplace safety regulations through inspections, citations, and penalties.",OSHA (Occupational Safety and Health Administration) establishes and enforces regulations to ensure safe and healthful working conditions for employees. Employers are required to adhere to these stand
How is insulin related to type 1 diabetes?,Static,CACHE_HIT_FAST,0.5825,True,"In type 1 diabetes, the immune system destroys the pancreatic beta cells that produce insulin. Without insulin, glucose cannot enter cells, causing dangerous hyperglycemia. Daily insulin injections or",Insulin is a peptide hormone produced by the **beta cells** of the pancreas in the regions known as the **islets of Langerhans**. It plays a critical role in regulating blood sugar (glucose) levels in
What are the main features of the EU AI Act?,Slow-Moving,CACHE_HIT_FAST,0.7482,False,The EU AI Act classifies AI by risk tier (unacceptable/high/limited/minimal) with strict obligations for high-risk AI in critical sectors. General-purpose AI models above capability thresholds have tr,"The **EU AI Act**, officially known as the ""Artificial Intelligence Act,"" is a legislative proposal introduced by the European Commission in April 2021 to create a harmonized framework for the regulat"
How does Terraform manage cloud infrastructure?,Slow-Moving,CACHE_HIT_FAST,0.8059,False,Terraform uses declarative HCL configs and a state file to provision and manage cloud infrastructure across hundreds of providers via a plan-apply workflow.,"Terraform is an open-source Infrastructure as Code (IaC) tool developed by HashiCorp. It allows you to define, provision, and manage infrastructure resources (like servers, networks, databases, and cl"
What is the DEA drug schedule and what does Schedule II mean?,Slow-Moving,CACHE_HIT_FAST,0.8019,False,The DEA schedule classifies controlled substances I–V by abuse potential and medical use. Schedule II includes drugs like oxycodone and fentanyl — high abuse potential but accepted medical use.,"The **Drug Enforcement Administration (DEA)** schedule system classifies substances into five categories (or ""schedules"") based on their **medical use, potential for abuse, and the risk of dependence*"
What's the current state of US-China chip export controls?,Volatile,CACHE_HIT_FAST,0.3008,True,Export control rules evolve rapidly. The April 2026 rules may extend beyond 2024 restrictions. Check BIS for current export control lists.,"As of my last knowledge update in October 2023, the U.S. CHIPS Act (the **CHIPS and Science Act of 2022**) is actively in the implementation phase. The Act allocates **$52.7 billion in subsidies** to "
What are the current COVID booster recommendations?,Volatile,CACHE_HIT_FAST,0.7052,False,"CDC updates COVID vaccine recommendations seasonally. As of April 2026, recommendations may differ. Check CDC.gov.","As of my knowledge cutoff in October 2023, COVID-19 booster recommendations vary by country and public health authority. Below is an overview of the latest guidance from major public health organizati"
What is the current CHIPS Act funding status?,Volatile,CACHE_HIT_FAST,0.6726,True,"CHIPS Act awards were ongoing in 2024. As of April 2026, further awards or construction milestones may have occurred. Check Commerce Dept.","As of my last knowledge update in October 2023, the U.S. CHIPS Act (the **CHIPS and Science Act of 2022**) is actively in the implementation phase. The Act allocates **$52.7 billion in subsidies** to "
What is the difference between common law and civil law legal systems?,Static,CACHE_HIT_FAST,0.7149,False,Common law (UK/US) relies on judicial precedent; civil law (France/Germany) relies primarily on written codes. Common law systems have more judge-made law; civil law systems have more comprehensive st,**Common law** is a legal system and body of law primarily derived from judicial decisions and court rulings rather than from statutes (laws passed by legislatures) or written constitutions. It is one
What are the current WHO pandemic preparedness recommendations?,Slow-Moving,CACHE_HIT_FAST,0.2307,True,"The WHO's International Health Regulations and pandemic preparedness frameworks require member states to build core public health capacities, report disease outbreaks, and participate in joint externa","The World Health Organization (WHO) provides guidelines for the responsible use of antibiotics in order to combat antimicrobial resistance (AMR), a significant global health threat. Below are the key "
What is the current status of the WHO Pandemic Treaty?,Volatile,CACHE_HIT_FAST,0.1493,True,"As of early 2025, WHO member states were finalizing negotiations on a pandemic prevention, preparedness and response accord. As of April 2026, the treaty may have been adopted or negotiations may have","The World Health Organization (WHO) provides guidelines for the responsible use of antibiotics in order to combat antimicrobial resistance (AMR), a significant global health threat. Below are the key "
Does the law protect you from being locked up without charges? (context: US law),Static,CACHE_HIT_FAST,0.4812,True,"Habeas corpus protects against unlawful detention. US citizens have the right to challenge imprisonment in court under Article I, Section 9.","The **Fifth Amendment** and the **Fourteenth Amendment** of the U.S. Constitution both contain provisions that protect individuals from being held without reason.

1. **Fifth Amendment**: Protects aga"
Is the accused guilty until proven innocent? (context: US criminal law),Static,CACHE_HIT_FAST,0.7028,False,No — the opposite. The presumption of innocence means the accused is considered innocent until the prosecution proves guilt beyond reasonable doubt.,The **presumption of innocence** is a fundamental legal principle that ensures that anyone accused of a crime is considered innocent until proven guilty. It places the burden of proof on the prosecuti
Does GDPR apply to companies outside Europe? (context: data compliance),Slow-Moving,CACHE_HIT_FAST,0.3288,True,"Yes — GDPR applies to any organization that processes data of EU residents, regardless of where the organization is based. Non-EU companies targeting EU users must comply.","The General Data Protection Regulation (GDPR) does not set specific timeframes or durations for data retention. Instead, it establishes principles for how personal data should be managed and stored, l"
Is water two atoms or three? (context: chemistry),Static,CACHE_HIT_FAST,0.7751,False,Water (H₂O) has three atoms total: two hydrogen atoms and one oxygen atom.,The chemical formula for water is **H₂O**. It consists of two hydrogen (H) atoms and one oxygen (O) atom.
What is entropy and why does it always increase?,Static,CACHE_HIT_FAST,0.5797,True,Entropy measures disorder. The second law says it always increases in isolated systems — processes are irreversible because disorder grows.,"In thermodynamics, **entropy** is a fundamental property that measures the degree of disorder or randomness in a system. It is a central concept in the second law of thermodynamics, which states that "
What is the role of the liver in metabolism?,Static,CACHE_HIT_FAST,0.8472,False,"The liver metabolizes nutrients, detoxifies substances, synthesizes proteins and clotting factors, regulates glucose and cholesterol, and produces bile.","The liver is a vital organ in the human body and performs a wide range of essential functions critical to maintaining overall health and homeostasis. Its primary roles include:

1. **Detoxification**:"
How does the immune system fight infection?,Static,CACHE_HIT_FAST,0.7055,False,The innate immune system responds immediately with inflammation and phagocytes; the adaptive immune system generates targeted antibodies and T-cells. Together they identify and destroy pathogens.,"The **immune system** is a complex network of cells, tissues, organs, and molecules that work together to defend the body against harmful pathogens, such as bacteria, viruses, fungi, and parasites. It"
What is CRISPR and what diseases can it treat?,Static,CACHE_HIT_FAST,0.6297,True,"CRISPR-Cas9 can edit any gene with precision. Clinical trials are targeting sickle cell disease, beta-thalassemia, cancer, and blindness. The first CRISPR therapy (exa-cel) was approved by the FDA in ",CRISPR-Cas9 is a revolutionary gene-editing technology that has transformed the field of genetics by providing scientists with a powerful and precise tool to modify DNA. Here's a breakdown of what it 
How long can a business keep my data? (context: GDPR),Slow-Moving,CACHE_HIT_FAST,0.8263,False,"Under GDPR, data may only be kept as long as necessary for the stated purpose. Organizations must define retention schedules and delete or anonymize data when no longer needed.","The General Data Protection Regulation (GDPR) does not set specific timeframes or durations for data retention. Instead, it establishes principles for how personal data should be managed and stored, l"
Does the US have a law about making AI safe? (context: federal policy),Slow-Moving,CACHE_HIT_FAST,0.622,True,"The Biden EO on AI Safety (Oct 2023) requires safety test sharing for powerful AI. No comprehensive federal AI statute exists yet, though states like California have passed their own laws.","The **EU AI Act**, officially known as the ""Artificial Intelligence Act,"" is a legislative proposal introduced by the European Commission in April 2021 to create a harmonized framework for the regulat"
What can police do if they don't read you your rights? (context: Miranda),Static,CACHE_HIT_FAST,0.6302,True,"Statements made without Miranda warnings in a custodial interrogation are typically inadmissible in court. However, the case is not automatically dismissed — other evidence can still be used.",The **Miranda warning** is a legal requirement in the United States designed to protect a person's Fifth Amendment right against self-incrimination and Sixth Amendment right to legal counsel during cu
What bank ratio does Basel III require? (context: international banking),Slow-Moving,CACHE_HIT_FAST,0.7222,False,"Basel III requires a minimum Common Equity Tier 1 (CET1) ratio of 4.5%, plus a capital conservation buffer of 2.5%, effectively requiring 7% CET1 in normal times.",The Basel III framework is a comprehensive set of international banking regulations developed by the Basel Committee on Banking Supervision (BCBS) in response to the global financial crisis of 2007–20
What is the current state of inflation globally in 2026?,Volatile,CACHE_HIT_FAST,0.4731,True,"Global inflation has been declining since 2022 peaks. As of April 2026, most major economies may have returned closer to central bank targets. Check IMF or national statistical agencies for current da","As of my latest knowledge cutoff in October 2023, it is not possible for me to provide details on U.S. monetary policy for 2026. However, I can share some general insights about how monetary policy de"
What is the latest AI model released by Anthropic?,Volatile,CACHE_HIT_FAST,0.1542,True,"Anthropic has released multiple Claude model versions. As of April 2026, models beyond the 2024 cache entry have been released. Check Anthropic's website for the current model lineup.","As of my last knowledge update in October 2023, OpenAI has been actively advancing its AI model offerings. The most recent updates include:

1. **GPT-4:** OpenAI released GPT-4 earlier in 2023, offeri"
How does photosynthesis produce oxygen?,Static,CACHE_HIT_FAST,0.7449,False,"During the light-dependent reactions of photosynthesis, water molecules are split (photolysis) releasing oxygen as a byproduct. This oxygen is released into the atmosphere.","Photosynthesis is the biological process by which green plants, algae, and certain bacteria convert light energy from the sun into chemical energy stored in the form of glucose (sugar). This process i"
What is quantum superposition?,Static,CACHE_HIT_FAST,0.5047,True,Quantum superposition means a quantum particle can exist in multiple states simultaneously until measured. Measuring collapses the superposition to a definite state. This is the basis of quantum compu,"Quantum entanglement is a phenomenon in quantum mechanics where two or more particles become interconnected in such a way that the state of one particle directly determines the state of the other, no "
What does the Clean Air Act require from power plants?,Slow-Moving,CACHE_HIT_FAST,0.7281,False,"Under the Clean Air Act, power plants must comply with emission standards for SO₂, NOₓ, particulates, and mercury. They must obtain permits under the Title V program and apply Best Available Control T",The **Clean Air Act (CAA)** is a comprehensive federal law in the United States that regulates air emissions from stationary and mobile sources to protect public health and the environment from harmfu
What is the NYDFS cybersecurity rule?,Slow-Moving,CACHE_HIT_FAST,0.7245,False,"New York's 23 NYCRR 500 requires financial entities to maintain a cybersecurity program, implement MFA, have a CISO, conduct penetration testing, maintain audit logs, and report material incidents wit","The New York Department of Financial Services (NYDFS) Cybersecurity Regulation, 23 NYCRR 500, establishes specific cybersecurity requirements for financial institutions and other regulated entities op"
What is WebAssembly used for?,Slow-Moving,CACHE_HIT_FAST,0.6469,True,"WASM enables near-native performance in browsers for languages like C++/Rust. Via WASI, it also enables portable server-side execution. Used for game engines, video editing tools, and edge computing.","WebAssembly (often abbreviated as WASM) is a low-level, binary instruction format designed to serve as a portable compilation target for high-level programming languages, enabling code to run efficien"
What does the AML framework require banks to know about customers?,Slow-Moving,CACHE_HIT_FAST,0.5825,True,"AML KYC requirements mandate banks to verify customer identities, understand the nature of customer relationships, perform enhanced due diligence for high-risk customers, and identify beneficial owner","The Anti-Money Laundering (AML) framework imposes a range of requirements on financial institutions to prevent, detect, and report money laundering and other illicit financial activities. These requir"
