query,true_category,source,latency
What is the latest version of Terraform?,Slow-Moving,GEMINI_API,4.1881
What is the current price of Brent crude?,Volatile,GEMINI_VOLATILE,4.4972
What is the current uranium spot price?,Volatile,GEMINI_VOLATILE,6.031
Are there any earthquakes happening right now?,Volatile,GEMINI_VOLATILE,5.3553
What meme stock is surging today?,Volatile,GEMINI_VOLATILE,10.4935
Who was Charles Darwin?,Static,GEMINI_API,7.2
What is mutation?,Static,GEMINI_API,8.1002
What is the current GDPR compliance requirement?,Slow-Moving,GEMINI_API,9.9197
What is the latest therapy for ADHD?,Slow-Moving,GEMINI_API,9.3508
What is the median household income in the US?,Slow-Moving,GEMINI_VOLATILE,4.2926
What is the formula for the area of a circle?,Static,GEMINI_API,2.9522
What is the current biodiesel price?,Volatile,GEMINI_VOLATILE,8.4177
What is the current interest rate in Japan?,Slow-Moving,CACHE_HIT_FAST,0.1062
What is the latest news about North Korea?,Volatile,GEMINI_VOLATILE,9.2106
What is the formula for kinetic energy?,Static,GEMINI_API,3.0575
What is the current price of SPY puts?,Volatile,GEMINI_VOLATILE,7.8283
What is happening in Brazil's politics right now?,Volatile,GEMINI_VOLATILE,12.4827
What is the score of the Patriots game?,Volatile,GEMINI_VOLATILE,2.7088
What is the current corporate tax rate?,Slow-Moving,GEMINI_API,6.07
What is the subconscious mind?,Static,GEMINI_API,9.7143
What is NVIDIA's stock price right now?,Volatile,GEMINI_VOLATILE,7.6197
What is the recommended batch size for deep learning?,Slow-Moving,GEMINI_API,13.6766
What is a crustacean?,Static,GEMINI_API,15.2727
What is the latest version of Grafana?,Slow-Moving,GEMINI_API,5.2669
What is the current version of Kubernetes?,Slow-Moving,GEMINI_API,4.2343
What is the current guideline for alcohol consumption?,Slow-Moving,GEMINI_API,15.3481
What is the current recommendation for GraphQL vs REST?,Slow-Moving,GEMINI_API,11.4582
Is it snowing in Denver right now?,Volatile,GEMINI_VOLATILE,3.0912
What is the current corporate tax rate in Singapore?,Slow-Moving,CACHE_HIT_FAST,0.1518
What is the uncertainty principle?,Static,GEMINI_API,10.4882
What is a quark?,Static,GEMINI_API,7.7045
Who discovered penicillin?,Static,GEMINI_API,4.3451
What is the current situation in Sudan?,Volatile,GEMINI_VOLATILE,10.531
What is the singularity?,Static,GEMINI_API,10.6549
What is the current minimum wage in Washington state?,Slow-Moving,GEMINI_API,5.7661
What is the current status of peace talks?,Volatile,GEMINI_API,20.418
What is the current sea level rise rate?,Slow-Moving,GEMINI_VOLATILE,7.476
What is the weather in Paris today?,Volatile,GEMINI_VOLATILE,4.5073
What is the current acceptance rate at MIT?,Slow-Moving,GEMINI_API,5.0407
What is the chemical symbol for iron?,Static,CACHE_HIT_FAST,0.0902
What is happening in Congress right now?,Volatile,GEMINI_VOLATILE,9.0205
What is the current weather in London?,Volatile,GEMINI_VOLATILE,2.9636
What just happened at the summit?,Volatile,GEMINI_VOLATILE,7.9926
What is the recommended Node.js LTS version?,Slow-Moving,GEMINI_API,5.5974
What does CPU stand for?,Static,GEMINI_API,1.7951
What is the latest vaccine mandate news?,Volatile,GEMINI_VOLATILE,10.6285
What is the current temperature in Tokyo?,Volatile,GEMINI_VOLATILE,2.1181
What is operant conditioning?,Static,GEMINI_API,8.1839
What is meiosis?,Static,GEMINI_API,8.2355
What is mutualism?,Static,GEMINI_API,7.7392
What is the current price of Ethereum?,Volatile,GEMINI_VOLATILE,6.0684
What is enthalpy?,Static,GEMINI_API,6.8176
What is the smallest ocean?,Static,GEMINI_API,3.1304
Who painted Starry Night?,Static,GEMINI_API,1.9578
